(3,0)
(1,1)
(30,0)
(4,0)
(1,2)
(32,0)
(1,3)
(32,0)
(1,4)
(35,0)
(14,0)
(30,0)
(6,0)
(1,2)
(29,0)
(2,1)
(30,0)
(1,3)
(29,0)
(2,2)
(30,0)
(1,4)
(29,0)
(2,1)
(16,0)
(2,2)
(18,0)
(2,3)
(16,0)
(33,0)
(2,4)
(16,0)
(2,5)
(34,0)
(18,0)
(2,6)
(30,0)
(8,0)
(1,2)
(16,0)
(1,3)
(23,0)
(1,4)
(9,0)
(6,0)
(1,2)
(29,0)
(1,2)
(16,0)
(1,3)
(30,0)
(1,3)
(29,0)
(1,3)
(16,0)
(1,2)
(7,0)
(10,0)
(1,4)
(29,0)
(2,1000)
(30,0)
(8,0)
(1,2)
(16,0)
(1,3)
(23,0)
(1,4)
(9,0)
(11,0)
(1,2)
(16,0)
(1,4)
(25,0)
(1,3)
(16,0)
(2,500)
(21,0)
(21,0)
(36,0)
(33,0)
(1,4)
(23,0)
(2,2000)
(21,0)
(21,0)
(1,4)
(28,0)
(2,12)
(22,0)
(22,0)
(1,4)
(25,0)
(2,4)
(34,0)
(12,0)
(6,0)
(8,0)
(1,2)
(9,0)
(1,4)
(29,0)
(1,4)
(16,0)
(2,500)
(30,0)
(8,0)
(1,4)
(23,0)
(2,4)
(9,0)
(8,0)
(1,2)
(25,0)
(1,3)
(22,0)
(22,0)
(1,4)
(23,0)
(2,1)
(9,0)
(1,2)
(29,0)
(2,1)
(7,0)
(10,0)
(1,2)
(29,0)
(2,1)
(7,0)
(31,0)
